feature_family,source,leakage_status,n_features_contract,n_present_training_table,n_present_event_market_rows,missing_in_training_table,missing_in_event_market_rows,avg_non_null_rate_training_table,avg_non_null_rate_event_market_rows,stale_freshness_columns_present,used_by_model_training,used_by_prediction,exposed_to_deliveries,leakage_risk,recommended_action
identity_metadata,pipeline_runtime_and_slate,safe,17,5,6,run_date|run_id|run_mode|generated_at_utc|source_data_asof_utc|team|opponent|event_id|role_bucket|model_version|feature_contract_version|feature_snapshot_id,game_date|run_date|run_id|run_mode|generated_at_utc|source_data_asof_utc|team|opponent|model_version|feature_contract_version|feature_snapshot_id,1.0,0.7351957066416569,False,True,True,True,False,replace
injury_availability,player_availability_asof,safe,26,3,0,injury_status_current|injury_status_previous|injury_status_changed_since_morning|injury_source|injury_report_asof_utc|injury_last_updated_utc|injury_freshness_minutes|injury_freshness_status|stale_injury_flag|prob_active_current|prob_active_previous|prob_active_delta_since_morning|inactive_risk_current|inactive_risk_reason|returning_from_injury_flag|first_game_back_flag|probable_flag|questionable_flag|doubtful_flag|out_flag|rest_flag|personal_absence_flag|coach_dnp_risk_flag,injury_status_current|injury_status_previous|injury_status_changed_since_morning|injury_source|injury_report_asof_utc|injury_last_updated_utc|injury_freshness_minutes|injury_freshness_status|stale_injury_flag|prob_active_current|prob_active_previous|prob_active_delta_since_morning|inactive_risk_current|inactive_risk_reason|has_injury_data|availability_confidence|minutes_restriction_flag|returning_from_injury_flag|first_game_back_flag|probable_flag|questionable_flag|doubtful_flag|out_flag|rest_flag|personal_absence_flag|coach_dnp_risk_flag,0.9875237691350088,0.0,False,True,True,False,False,replace
teammate_availability,availability_and_roster_context,safe,21,5,0,num_teammates_questionable|num_teammates_probable|teammates_out_usage_sum|teammates_out_minutes_sum|teammates_out_fga_sum|high_usage_teammates_out_count|primary_ballhandler_out|primary_creator_out|primary_rebounder_out|primary_rim_protector_out|top_usage_teammate_out|top_assist_teammate_out|top_rebound_teammate_out|same_position_teammate_out|starter_out_same_position|starter_out_any_position,num_teammates_inactive|num_teammates_questionable|num_teammates_probable|num_teammates_out_total|teammates_out_usage_sum|teammates_out_minutes_sum|teammates_out_fga_sum|high_usage_teammates_out_count|primary_ballhandler_out|primary_creator_out|primary_rebounder_out|primary_rim_protector_out|top_usage_teammate_out|top_assist_teammate_out|top_rebound_teammate_out|same_position_teammate_out|starter_out_same_position|starter_out_any_position|teammate_out_count_guard|teammate_out_count_wing|teammate_out_count_big,0.9850285229620106,0.0,False,True,True,False,False,replace
expected_lineup,expected_lineup_provider,safe,14,0,0,expected_lineup_available|expected_lineup_source|expected_lineup_asof_utc|expected_lineup_last_updated_utc|expected_lineup_freshness_minutes|expected_lineup_freshness_status|expected_starter|expected_bench_role|expected_rotation_rank|expected_lineup_confidence|expected_starter_prob|projected_rotation_slot|projected_closing_lineup_flag|projected_blowout_rotation_risk,expected_lineup_available|expected_lineup_source|expected_lineup_asof_utc|expected_lineup_last_updated_utc|expected_lineup_freshness_minutes|expected_lineup_freshness_status|expected_starter|expected_bench_role|expected_rotation_rank|expected_lineup_confidence|expected_starter_prob|projected_rotation_slot|projected_closing_lineup_flag|projected_blowout_rotation_risk,0.0,0.0,False,True,True,False,False,add
official_lineup,official_lineup_provider,safe,13,0,0,official_lineup_available|official_lineup_source|official_lineup_asof_utc|official_lineup_last_updated_utc|official_lineup_freshness_minutes|official_lineup_freshness_status|official_starter|confirmed_starter|official_lineup_status|official_lineup_override_used|lineup_changed_since_morning|projected_to_official_role_delta|expected_lineup_mislabeled_as_official_flag,official_lineup_available|official_lineup_source|official_lineup_asof_utc|official_lineup_last_updated_utc|official_lineup_freshness_minutes|official_lineup_freshness_status|official_starter|confirmed_starter|official_lineup_status|official_lineup_override_used|lineup_changed_since_morning|projected_to_official_role_delta|expected_lineup_mislabeled_as_official_flag,0.0,0.0,False,True,True,False,False,add
minutes_distribution,minutes_model_and_context,safe,22,0,0,projected_minutes|minutes_q05|minutes_q10|minutes_q25|minutes_q50|minutes_q75|minutes_q90|minutes_q95|minutes_mean|minutes_std|minutes_floor|minutes_ceiling|prob_minutes_lt_10|prob_minutes_10_20|prob_minutes_20_30|prob_minutes_30_plus|prob_minutes_35_plus|minutes_role_volatility|minutes_projection_source|minutes_model_version|minutes_model_oof_quality_bucket|minutes_uncertainty_reason,projected_minutes|minutes_q05|minutes_q10|minutes_q25|minutes_q50|minutes_q75|minutes_q90|minutes_q95|minutes_mean|minutes_std|minutes_floor|minutes_ceiling|prob_minutes_lt_10|prob_minutes_10_20|prob_minutes_20_30|prob_minutes_30_plus|prob_minutes_35_plus|minutes_role_volatility|minutes_projection_source|minutes_model_version|minutes_model_oof_quality_bucket|minutes_uncertainty_reason,0.0,0.0,False,True,True,False,False,add
role_state,role_state_model,safe,13,0,0,p_inactive|p_fringe|p_bench|p_rotation|p_core|p_starter|role_entropy|role_bucket_confidence|role_change_probability|role_source|role_source_asof_utc|hard_role_bucket|role_mixture_enabled,p_inactive|p_fringe|p_bench|p_rotation|p_core|p_starter|role_entropy|role_bucket_confidence|role_change_probability|role_source|role_source_asof_utc|hard_role_bucket|role_mixture_enabled,0.0,0.0,False,True,True,False,False,add
usage_opportunity,usage_projection_builder,safe,24,4,0,usage_projection|usage_projection_source|usage_proxy_current|usage_proxy_last3|usage_proxy_last5|usage_proxy_last10|usage_ewma|usage_trend_3v10|fga_projection|fga_per_min_projection|fg3a_projection|assist_chance_projection|rebound_chance_projection|touch_projection|time_of_possession_projection|vacated_assist_chances|vacated_rebound_chances|fga_delta_without_top_scorer|ast_delta_without_primary_handler|reb_delta_without_starting_big,usage_projection|usage_projection_source|usage_proxy_current|usage_proxy_last3|usage_proxy_last5|usage_proxy_last10|usage_ewma|usage_trend_3v10|fga_projection|fga_per_min_projection|fg3a_projection|assist_chance_projection|rebound_chance_projection|touch_projection|time_of_possession_projection|vacated_usage_proxy|vacated_fga|vacated_fg3a|vacated_assist_chances|vacated_rebound_chances|usage_delta_without_top_creator|fga_delta_without_top_scorer|ast_delta_without_primary_handler|reb_delta_without_starting_big,0.25,0.0,False,True,True,False,False,replace
teammate_on_off,historical_on_off_splits,safe,12,0,0,usage_with_top_usage_teammates_off|fga_with_top_usage_teammates_off|ast_rate_with_primary_ballhandler_off|reb_rate_with_starting_center_off|fg3a_rate_with_spacing_lineup|points_per_min_with_high_usage_teammate_off|assist_chances_with_starting_pg_out|rebound_chances_with_starting_center_out|minutes_with_current_projected_lineup|possessions_with_current_projected_lineup|on_off_sample_size|on_off_shrinkage_weight,usage_with_top_usage_teammates_off|fga_with_top_usage_teammates_off|ast_rate_with_primary_ballhandler_off|reb_rate_with_starting_center_off|fg3a_rate_with_spacing_lineup|points_per_min_with_high_usage_teammate_off|assist_chances_with_starting_pg_out|rebound_chances_with_starting_center_out|minutes_with_current_projected_lineup|possessions_with_current_projected_lineup|on_off_sample_size|on_off_shrinkage_weight,0.0,0.0,False,True,True,False,False,add
schedule_context,schedule_and_market_context,safe,18,11,0,three_in_four|travel_distance_proxy|home_away|close_game_minutes_multiplier|pace_projection|team_possessions_projection|opponent_possessions_projection,rest_days|back_to_back|three_in_four|days_since_last_played|travel_distance_proxy|home_away|spread_for_team|consensus_total|implied_team_total|blowout_risk|close_game_minutes_multiplier|pace_projection|team_possessions_projection|opponent_possessions_projection|total_move|spread_move|steam_total_up|steam_total_down,0.4446721693742857,0.0,False,True,True,False,False,replace
