Line,Fair_Prob_Over,Fair_Prob_Under,Fair_Odds_Over,Fair_Odds_Under,Book_Odds_Over,Book_Odds_Under,Edge_Percent
15.5,0.9503,0.0497,-1912,+1912,-9888,+1566,3.97
16.5,0.9276,0.0724,-1282,+1282,-2718,+1070,3.69
17.5,0.8986,0.1014,-887,+887,-1385,+752,3.40
18.5,0.8630,0.1370,-630,+630,-847,+542,3.13
19.5,0.8208,0.1792,-458,+458,-566,+399,2.90
20.5,0.7723,0.2277,-339,+339,-399,+299,2.72
21.5,0.7186,0.2814,-255,+255,-291,+227,2.59
22.5,0.6606,0.3394,-195,+195,-218,+175,2.51
23.5,0.5999,0.4001,-150,+150,-166,+135,2.49
24.5,0.5378,0.4622,-116,+116,-129,+105,2.49
25.5,0.4760,0.5240,+110,-110,-100,-122,2.51
26.5,0.4158,0.5842,+140,-140,+127,-156,2.51
27.5,0.3586,0.6414,+179,-179,+161,-200,2.50
28.5,0.3052,0.6948,+228,-228,+203,-258,2.45
29.5,0.2565,0.7435,+290,-290,+257,-335,2.36
30.5,0.2128,0.7872,+370,-370,+325,-440,2.24
31.5,0.1743,0.8257,+474,-474,+413,-589,2.08
32.5,0.1411,0.8589,+609,-609,+525,-809,1.89
33.5,0.1128,0.8872,+787,-787,+671,-1155,1.69
34.5,0.0891,0.9109,+1023,-1023,+862,-1755,1.48
35.5,0.0695,0.9305,+1338,-1338,+1115,-2994,1.28
