game_id,player_id,player_name,team_id,team,min,pts,reb,ast,stl,blk,turnover,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,pf,date,season,home_team_id,away_team_id,is_home,min_decimal,pts_L3,pts_L5,pts_L7,pts_L10,reb_L3,reb_L5,reb_L7,reb_L10,ast_L3,ast_L5,ast_L7,ast_L10,min_decimal_L3,min_decimal_L5,min_decimal_L7,min_decimal_L10,fg_pct_L3,fg_pct_L5,fg_pct_L7,fg_pct_L10,fg3_pct_L3,fg3_pct_L5,fg3_pct_L7,fg3_pct_L10,ft_pct_L3,ft_pct_L5,ft_pct_L7,ft_pct_L10,games_last_7,rest_days,opp_def_rating,opp_off_rating,opp_pace,position,home_pts_avg,away_pts_avg,home_away_pts_mult,home_reb_avg,away_reb_avg,home_away_reb_mult,home_ast_avg,away_ast_avg,home_away_ast_mult,teammates_pts_avg,teammates_usage_avg
1037610,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-10-27,2023,15,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,108.26431026924762,116.62782917656828,101.98352941176474,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.117647058823529,5.562352941176471
1037621,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-10-28,2023,30,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,117.45820445558124,106.34861595082418,107.54105263157894,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.235294117647059,5.5858823529411765
1037638,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-10-30,2023,15,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,109.35150651227272,110.23022397531776,102.42200000000004,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.470588235294118,5.929411764705883
1037657,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-11-01,2023,29,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,115.82603176841845,107.40792976394052,103.1327272727273,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.411764705882353,6.475294117647059
3277355,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-11-03,2023,25,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,108.86813297177864,104.39891533594454,104.81052631578947,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.647058823529412,5.983529411764706
1037683,3,Steven Adams,15,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2023-11-05,2023,25,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,108.86813297177864,104.39891533594454,104.81052631578947,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.222222222222222,5.262222222222222
15907445,3,Steven Adams,11,Houston Rockets,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23,2024,11,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,116.63781692292028,113.78678342327665,103.37894736842104,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.769230769230769,8.215384615384615
15907459,3,Steven Adams,11,Houston Rockets,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-25,2024,11,15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,111.31725417439702,108.3355420090114,104.98782608695652,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,7.115
15907471,3,Steven Adams,11,Houston Rockets,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-26,2024,27,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,110.68937217890851,109.86869101354124,102.61052631578949,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.625,6.327500000000001
15907486,3,Steven Adams,11,Houston Rockets,14,6,3,0,0,0,1,3,3,1.0,0,0,0.0,0,1,0.0,1,2,3,2024-10-28,2024,27,11,False,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,110.68937217890851,109.86869101354124,102.61052631578949,SF,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.25,5.7575
